Train_ID,Train_Number,Train_Name,Train_Type,Source_Station,Destination_Station,Distance_KM,Service_Frequency,Zone_Code,Start_Time,End_Time
1,12001,Mumbai Superfast Express,Superfast,CR01,CR06,287,Weekly,CR,17:39,10:25
2,12002,Kolkata Mail Express,Mail,CR04,ER01,2071,Bi-weekly,ER,01:41,04:05
3,12003,Hajipur Passenger Express,Passenger,CR07,ER04,1301,Daily,ECR,22:44,17:43
4,12004,Bhubaneswar Vande Bharat Express,Vande Bharat,ER02,ER07,1903,Weekly,ECoR,11:07,19:27
5,12005,New Delhi Express Express,Express,ER05,EC02,1240,Bi-weekly,NR,08:10,21:46
6,12006,Prayagraj Superfast Express,Superfast,ER08,EC05,1573,Daily,NCR,09:49,12:26
7,12007,Gorakhpur Mail Express,Mail,EC03,EC08,1125,Weekly,NER,05:05,12:53
8,12008,Guwahati Passenger Express,Passenger,EC06,EC03,228,Bi-weekly,NFR,19:49,06:37
9,12009,Jaipur Vande Bharat Express,Vande Bharat,EC01,EC06,463,Daily,NWR,17:42,08:04
10,12010,Secunderabad Express Express,Express,EC04,NR01,2332,Weekly,SCR,10:53,15:46
11,12011,Bilaspur Superfast Express,Superfast,EC07,NR04,1842,Bi-weekly,SECR,04:21,10:29
12,12012,Kolkata Mail Express,Mail,NR02,NR07,181,Daily,SER,12:09,17:40
13,12013,Hubballi Passenger Express,Passenger,NR05,NC02,2220,Weekly,SWR,17:21,22:24
14,12014,Chennai Vande Bharat Express,Vande Bharat,NR08,NC05,835,Bi-weekly,SR,20:22,01:28
15,12015,Jabalpur Express Express,Express,NC03,NC08,1925,Daily,WCR,04:27,02:41
16,12016,Mumbai Superfast Express,Superfast,NC06,NE03,1183,Weekly,WR,07:13,12:40
17,12017,Mumbai Mail Express,Mail,NE01,NE06,2261,Bi-weekly,CR,10:09,19:37
18,12018,Kolkata Passenger Express,Passenger,NE04,NF01,1704,Daily,ER,02:18,17:49
19,12019,Hajipur Vande Bharat Express,Vande Bharat,NE07,NF04,1089,Weekly,ECR,18:50,08:53
20,12020,Bhubaneswar Express Express,Express,NF02,NF07,748,Bi-weekly,ECoR,05:40,14:08
21,12021,New Delhi Superfast Express,Superfast,NF05,NW02,2011,Daily,NR,04:48,00:47
22,12022,Prayagraj Mail Express,Mail,NF08,NW05,1905,Weekly,NCR,17:39,10:42
23,12023,Gorakhpur Passenger Express,Passenger,NW03,NW08,722,Bi-weekly,NER,17:33,10:30
24,12024,Guwahati Vande Bharat Express,Vande Bharat,NW06,SC03,1399,Daily,NFR,00:08,05:06
25,12025,Jaipur Express Express,Express,SC01,SC06,1099,Weekly,NWR,15:39,10:51
26,12026,Secunderabad Superfast Express,Superfast,SC04,SE01,1391,Bi-weekly,SCR,01:45,13:38
27,12027,Bilaspur Mail Express,Mail,SC07,SE04,1391,Daily,SECR,12:05,12:47
28,12028,Kolkata Passenger Express,Passenger,SE02,SE07,785,Weekly,SER,13:01,07:26
29,12029,Hubballi Vande Bharat Express,Vande Bharat,SE05,SE02,2359,Bi-weekly,SWR,04:16,09:59
30,12030,Chennai Express Express,Express,SE08,SE05,2059,Daily,SR,00:14,18:03
31,12031,Jabalpur Superfast Express,Superfast,SE03,SE08,2065,Weekly,WCR,06:55,06:26
32,12032,Mumbai Mail Express,Mail,SE06,SW03,1615,Bi-weekly,WR,02:33,11:47
33,12033,Mumbai Passenger Express,Passenger,SW01,SW06,2390,Daily,CR,15:24,09:25
34,12034,Kolkata Vande Bharat Express,Vande Bharat,SW04,SR01,1968,Weekly,ER,07:10,07:01
35,12035,Hajipur Express Express,Express,SW07,SR04,326,Bi-weekly,ECR,02:46,16:41
36,12036,Bhubaneswar Superfast Express,Superfast,SR02,SR07,1151,Daily,ECoR,16:09,20:30
37,12037,New Delhi Mail Express,Mail,SR05,WC02,2256,Weekly,NR,03:29,16:29
38,12038,Prayagraj Passenger Express,Passenger,SR08,WC05,1115,Bi-weekly,NCR,03:22,05:18
39,12039,Gorakhpur Vande Bharat Express,Vande Bharat,WC03,WC08,1666,Daily,NER,14:36,08:57
40,12040,Guwahati Express Express,Express,WC06,WR03,283,Weekly,NFR,07:07,07:57
41,12041,Jaipur Superfast Express,Superfast,WR01,WR06,929,Bi-weekly,NWR,20:29,16:27
42,12042,Secunderabad Mail Express,Mail,WR04,CR01,696,Daily,SCR,17:58,06:46
43,12043,Bilaspur Passenger Express,Passenger,WR07,CR04,685,Weekly,SECR,16:47,10:44
44,12044,Kolkata Vande Bharat Express,Vande Bharat,CR02,CR07,711,Bi-weekly,SER,01:05,10:54
45,12045,Hubballi Express Express,Express,CR05,ER02,375,Daily,SWR,10:42,04:43
46,12046,Chennai Superfast Express,Superfast,CR08,ER05,789,Weekly,SR,18:34,12:10
47,12047,Jabalpur Mail Express,Mail,ER03,ER08,1154,Bi-weekly,WCR,19:01,17:29
48,12048,Mumbai Passenger Express,Passenger,ER06,EC03,1749,Daily,WR,15:25,07:37
49,12049,Mumbai Vande Bharat Express,Vande Bharat,EC01,EC06,405,Weekly,CR,13:05,14:37
50,12050,Kolkata Express Express,Express,EC04,EC01,275,Bi-weekly,ER,17:24,18:02
51,12051,Hajipur Superfast Express,Superfast,EC07,EC04,496,Daily,ECR,11:11,07:39
52,12052,Bhubaneswar Mail Express,Mail,EC02,EC07,415,Weekly,ECoR,15:06,04:35
53,12053,New Delhi Passenger Express,Passenger,EC05,NR02,1920,Bi-weekly,NR,03:17,21:59
54,12054,Prayagraj Vande Bharat Express,Vande Bharat,EC08,NR05,1428,Daily,NCR,10:20,14:35
55,12055,Gorakhpur Express Express,Express,NR03,NR08,763,Weekly,NER,00:09,22:25
56,12056,Guwahati Superfast Express,Superfast,NR06,NC03,1198,Bi-weekly,NFR,10:46,01:04
57,12057,Jaipur Mail Express,Mail,NC01,NC06,719,Daily,NWR,11:40,11:26
58,12058,Secunderabad Passenger Express,Passenger,NC04,NE01,2255,Weekly,SCR,03:34,12:28
59,12059,Bilaspur Vande Bharat Express,Vande Bharat,NC07,NE04,1953,Bi-weekly,SECR,06:57,07:32
60,12060,Kolkata Express Express,Express,NE02,NE07,1287,Daily,SER,19:26,06:01
61,12061,Hubballi Superfast Express,Superfast,NE05,NF02,923,Weekly,SWR,19:00,20:32
62,12062,Chennai Mail Express,Mail,NE08,NF05,405,Bi-weekly,SR,06:33,07:06
63,12063,Jabalpur Passenger Express,Passenger,NF03,NF08,1625,Daily,WCR,15:07,06:14
64,12064,Mumbai Vande Bharat Express,Vande Bharat,NF06,NW03,1609,Weekly,WR,16:43,21:46
65,12065,Mumbai Express Express,Express,NW01,NW06,823,Bi-weekly,CR,02:36,21:58
66,12066,Kolkata Superfast Express,Superfast,NW04,SC01,614,Daily,ER,05:02,03:33
67,12067,Hajipur Mail Express,Mail,NW07,SC04,1348,Weekly,ECR,08:18,19:27
68,12068,Bhubaneswar Passenger Express,Passenger,SC02,SC07,1955,Bi-weekly,ECoR,22:19,04:57
69,12069,New Delhi Vande Bharat Express,Vande Bharat,SC05,SE02,1552,Daily,NR,06:37,11:54
70,12070,Prayagraj Express Express,Express,SC08,SE05,673,Weekly,NCR,22:56,04:09
71,12071,Gorakhpur Superfast Express,Superfast,SE03,SE08,1316,Bi-weekly,NER,01:17,10:58
72,12072,Guwahati Mail Express,Mail,SE06,SE03,2382,Daily,NFR,03:53,02:44
73,12073,Jaipur Passenger Express,Passenger,SE01,SE06,2041,Weekly,NWR,20:13,20:06
74,12074,Secunderabad Vande Bharat Express,Vande Bharat,SE04,SW01,1283,Bi-weekly,SCR,10:18,00:46
75,12075,Bilaspur Express Express,Express,SE07,SW04,858,Daily,SECR,15:24,08:53
76,12076,Kolkata Superfast Express,Superfast,SW02,SW07,299,Weekly,SER,16:44,08:15
77,12077,Hubballi Mail Express,Mail,SW05,SR02,92,Bi-weekly,SWR,21:56,05:01
78,12078,Chennai Passenger Express,Passenger,SW08,SR05,364,Daily,SR,01:49,20:09
79,12079,Jabalpur Vande Bharat Express,Vande Bharat,SR03,SR08,1812,Weekly,WCR,04:22,13:43
80,12080,Mumbai Express Express,Express,SR06,WC03,2108,Bi-weekly,WR,01:11,06:18
81,12081,Mumbai Superfast Express,Superfast,WC01,WC06,2395,Daily,CR,17:19,22:29
82,12082,Kolkata Mail Express,Mail,WC04,WR01,1241,Weekly,ER,09:08,21:00
83,12083,Hajipur Passenger Express,Passenger,WC07,WR04,484,Bi-weekly,ECR,05:16,03:01
84,12084,Bhubaneswar Vande Bharat Express,Vande Bharat,WR02,WR07,1652,Daily,ECoR,22:07,06:30
85,12085,New Delhi Express Express,Express,WR05,CR02,2231,Weekly,NR,15:45,13:25
86,12086,Prayagraj Superfast Express,Superfast,WR08,CR05,543,Bi-weekly,NCR,19:48,00:42
87,12087,Gorakhpur Mail Express,Mail,CR03,CR08,275,Daily,NER,16:49,03:26
88,12088,Guwahati Passenger Express,Passenger,CR06,ER03,367,Weekly,NFR,13:55,01:23
89,12089,Jaipur Vande Bharat Express,Vande Bharat,ER01,ER06,2337,Bi-weekly,NWR,06:07,11:30
90,12090,Secunderabad Express Express,Express,ER04,EC01,1617,Daily,SCR,07:57,11:17
91,12091,Bilaspur Superfast Express,Superfast,ER07,EC04,2307,Weekly,SECR,21:29,00:35
92,12092,Kolkata Mail Express,Mail,EC02,EC07,1368,Bi-weekly,SER,03:38,19:06
93,12093,Hubballi Passenger Express,Passenger,EC05,EC02,1758,Daily,SWR,03:44,09:00
94,12094,Chennai Vande Bharat Express,Vande Bharat,EC08,EC05,2321,Weekly,SR,03:35,04:55
95,12095,Jabalpur Express Express,Express,EC03,EC08,1792,Bi-weekly,WCR,18:25,10:38
96,12096,Mumbai Superfast Express,Superfast,EC06,NR03,1900,Daily,WR,19:01,15:06
97,12097,Mumbai Mail Express,Mail,NR01,NR06,748,Weekly,CR,19:15,18:27
98,12098,Kolkata Passenger Express,Passenger,NR04,NC01,619,Bi-weekly,ER,07:31,17:36
99,12099,Hajipur Vande Bharat Express,Vande Bharat,NR07,NC04,2245,Daily,ECR,19:45,13:17
100,12100,Bhubaneswar Express Express,Express,NC02,NC07,1037,Weekly,ECoR,02:22,21:25
101,12101,New Delhi Superfast Express,Superfast,NC05,NE02,343,Bi-weekly,NR,14:57,19:16
102,12102,Prayagraj Mail Express,Mail,NC08,NE05,1133,Daily,NCR,12:14,06:14
103,12103,Gorakhpur Passenger Express,Passenger,NE03,NE08,2387,Weekly,NER,17:50,18:57
104,12104,Guwahati Vande Bharat Express,Vande Bharat,NE06,NF03,324,Bi-weekly,NFR,20:03,10:35
105,12105,Jaipur Express Express,Express,NF01,NF06,910,Daily,NWR,03:11,18:19
106,12106,Secunderabad Superfast Express,Superfast,NF04,NW01,799,Weekly,SCR,21:08,21:55
107,12107,Bilaspur Mail Express,Mail,NF07,NW04,1468,Bi-weekly,SECR,03:09,06:34
108,12108,Kolkata Passenger Express,Passenger,NW02,NW07,436,Daily,SER,10:06,12:01
109,12109,Hubballi Vande Bharat Express,Vande Bharat,NW05,SC02,1724,Weekly,SWR,01:11,04:49
110,12110,Chennai Express Express,Express,NW08,SC05,203,Bi-weekly,SR,09:35,11:40
111,12111,Jabalpur Superfast Express,Superfast,SC03,SC08,1943,Daily,WCR,09:49,07:59
112,12112,Mumbai Mail Express,Mail,SC06,SE03,1250,Weekly,WR,16:52,18:51
113,12113,Mumbai Passenger Express,Passenger,SE01,SE06,1324,Bi-weekly,CR,00:29,04:53
114,12114,Kolkata Vande Bharat Express,Vande Bharat,SE04,SE01,629,Daily,ER,05:14,14:34
115,12115,Hajipur Express Express,Express,SE07,SE04,2281,Weekly,ECR,09:16,01:00
116,12116,Bhubaneswar Superfast Express,Superfast,SE02,SE07,946,Bi-weekly,ECoR,21:31,20:06
117,12117,New Delhi Mail Express,Mail,SE05,SW02,296,Daily,NR,19:06,01:24
118,12118,Prayagraj Passenger Express,Passenger,SE08,SW05,2225,Weekly,NCR,15:05,19:50
119,12119,Gorakhpur Vande Bharat Express,Vande Bharat,SW03,SW08,1937,Bi-weekly,NER,20:14,22:19
120,12120,Guwahati Express Express,Express,SW06,SR03,1940,Daily,NFR,13:46,14:38
